,name,sp,mrp,seller,fsn,,,,,,,fsns,sellers,,,,,sellers
10," Large Check-in Suitcase (81 cm) - Optative Polycarbonate Hardsided Suitcase|Expandable LargeTravel Luggage Bag | 8 Wheel Trolley | 16-2398-08 |Pewter, 81 cm - Grey ","7,771","13,400"," PLTourFairyPvtLtd 6<img class=""_1wB99o"" src=""data:image/svg+xml;base64,PHN2ZyB4bWxucz0iaHR0cDovL3d3dy53My5vcmcvMjAwMC9zdmciIHdpZHRoPSIxMyIgaGVpZ2h0PSIxMiI+PHBhdGggZmlsbD0iI0ZGRiIgZD0iTTYuNSA5LjQzOWwtMy42NzQgMi4yMy45NC00LjI2LTMuMjEtMi44ODMgNC4yNTQtLjQwNEw2LjUuMTEybDEuNjkgNC4wMSA0LjI1NC40MDQtMy4yMSAyLjg4Mi45NCA0LjI2eiIvPjwvc3ZnPg==""/>   ","<re.Match object; span=(198, 218), match='pid=STCFNH7GHTDFKDDQ ",,,,,,,STCFNH7GHTDFKDDQ ," PLTourFairyPvtLtd 6<img class=""_1wB99o"" src=""data",,,,, PLTourFairyPvtLtd 
11, Small Cabin Suitcase (55 cm) - Radiate - Grey ,"6,377","11,599"," Zero7 Enterprise <img class=""_1wB99o"" src=""data:image/svg+xml;base64,PHN2ZyB4bWxucz0iaHR0cDovL3d3dy53My5vcmcvMjAwMC9zdmciIHdpZHRoPSIxMyIgaGVpZ2h0PSIxMiI+PHBhdGggZmlsbD0iI0ZGRiIgZD0iTTYuNSA5LjQzOWwtMy42NzQgMi4yMy45NC00LjI2LTMuMjEtMi44ODMgNC4yNTQtLjQwNEw2LjUuMTEybDEuNjkgNC4wMSA0LjI1NC40MDQtMy4yMSAyLjg4Mi45NCA0LjI2eiIvPjwvc3ZnPg==""/>   ","<re.Match object; span=(83, 103), match='pid=STCG4R82KCDTHGGD ",,,,,,,STCG4R82KCDTHGGD ," Zero7 Enterprise <img class=""_1wB99o"" src=""data:i",,,,, Zero7 Enterprise 
12, Large Check-in Suitcase (75 cm) - Flattery - Black ,"7,994","12,299"," PLTourFairyPvtLtd 6<img class=""_1wB99o"" src=""data:image/svg+xml;base64,PHN2ZyB4bWxucz0iaHR0cDovL3d3dy53My5vcmcvMjAwMC9zdmciIHdpZHRoPSIxMyIgaGVpZ2h0PSIxMiI+PHBhdGggZmlsbD0iI0ZGRiIgZD0iTTYuNSA5LjQzOWwtMy42NzQgMi4yMy45NC00LjI2LTMuMjEtMi44ODMgNC4yNTQtLjQwNEw2LjUuMTEybDEuNjkgNC4wMSA0LjI1NC40MDQtMy4yMSAyLjg4Mi45NCA0LjI2eiIvPjwvc3ZnPg==""/>   ","<re.Match object; span=(87, 107), match='pid=STCG4Z6AHUHKERZN ",,,,,,,STCG4Z6AHUHKERZN ," PLTourFairyPvtLtd 6<img class=""_1wB99o"" src=""data",,,,, PLTourFairyPvtLtd 
13, Soft Body Set of 2 Luggage - Hybrifusion - Red ,"17,879","29,798"," PLTourFairyPvtLtd 6<img class=""_1wB99o"" src=""data:image/svg+xml;base64,PHN2ZyB4bWxucz0iaHR0cDovL3d3dy53My5vcmcvMjAwMC9zdmciIHdpZHRoPSIxMyIgaGVpZ2h0PSIxMiI+PHBhdGggZmlsbD0iI0ZGRiIgZD0iTTYuNSA5LjQzOWwtMy42NzQgMi4yMy45NC00LjI2LTMuMjEtMi44ODMgNC4yNTQtLjQwNEw2LjUuMTEybDEuNjkgNC4wMSA0LjI1NC40MDQtMy4yMSAyLjg4Mi45NCA0LjI2eiIvPjwvc3ZnPg==""/>   ","<re.Match object; span=(91, 111), match='pid=STCG5UFHDBTRNA8Z ",,,,,,,STCG5UFHDBTRNA8Z ," PLTourFairyPvtLtd 6<img class=""_1wB99o"" src=""data",,,,, PLTourFairyPvtLtd 
14, Small Cabin Suitcase (56 cm) - World's Lightest 8 Wheel - Purple ,"6,599","10,999"," Zero7 Enterprise <img class=""_1wB99o"" src=""data:image/svg+xml;base64,PHN2ZyB4bWxucz0iaHR0cDovL3d3dy53My5vcmcvMjAwMC9zdmciIHdpZHRoPSIxMyIgaGVpZ2h0PSIxMiI+PHBhdGggZmlsbD0iI0ZGRiIgZD0iTTYuNSA5LjQzOWwtMy42NzQgMi4yMy45NC00LjI2LTMuMjEtMi44ODMgNC4yNTQtLjQwNEw2LjUuMTEybDEuNjkgNC4wMSA0LjI1NC40MDQtMy4yMSAyLjg4Mi45NCA0LjI2eiIvPjwvc3ZnPg==""/>   ","<re.Match object; span=(100, 120), match='pid=STCFBHGCDC97MSUY ",,,,,,,STCFBHGCDC97MSUY ," Zero7 Enterprise <img class=""_1wB99o"" src=""data:i",,,,, Zero7 Enterprise 
15,,,,,"<re.Match object; span=(100, 120), match='pid=STCFBHGC2DBKQ3X7 ",,,,,,,STCFBHGC2DBKQ3X7 ,,,,,,
16," Large Check-in Suitcase (73 cm) - Optative Polycarbonate Hardsided Suitcase|Expandable Medium Travel Luggage Bag | 8 Wheel Trolley | 16-2398-08 |Pewter, 71 cm - Grey ","7,534","11,900"," PLTourFairyPvtLtd 6<img class=""_1wB99o"" src=""data:image/svg+xml;base64,PHN2ZyB4bWxucz0iaHR0cDovL3d3dy53My5vcmcvMjAwMC9zdmciIHdpZHRoPSIxMyIgaGVpZ2h0PSIxMiI+PHBhdGggZmlsbD0iI0ZGRiIgZD0iTTYuNSA5LjQzOWwtMy42NzQgMi4yMy45NC00LjI2LTMuMjEtMi44ODMgNC4yNTQtLjQwNEw2LjUuMTEybDEuNjkgNC4wMSA0LjI1NC40MDQtMy4yMSAyLjg4Mi45NCA0LjI2eiIvPjwvc3ZnPg==""/>   ","<re.Match object; span=(200, 220), match='pid=STCFNH7GCX3YAJFY ",,,,,,,STCFNH7GCX3YAJFY ," PLTourFairyPvtLtd 6<img class=""_1wB99o"" src=""data",,,,, PLTourFairyPvtLtd 
17, Check-in Suitcase (71.5 cm) - Mesmerize - Black ,"7,149","12,999"," PLTourFairyPvtLtd 6<img class=""_1wB99o"" src=""data:image/svg+xml;base64,PHN2ZyB4bWxucz0iaHR0cDovL3d3dy53My5vcmcvMjAwMC9zdmciIHdpZHRoPSIxMyIgaGVpZ2h0PSIxMiI+PHBhdGggZmlsbD0iI0ZGRiIgZD0iTTYuNSA5LjQzOWwtMy42NzQgMi4yMy45NC00LjI2LTMuMjEtMi44ODMgNC4yNTQtLjQwNEw2LjUuMTEybDEuNjkgNC4wMSA0LjI1NC40MDQtMy4yMSAyLjg4Mi45NCA0LjI2eiIvPjwvc3ZnPg==""/>   ","<re.Match object; span=(99, 119), match='pid=STCG4QHFMKDAH777 ",,,,,,,STCG4QHFMKDAH777 ," PLTourFairyPvtLtd 6<img class=""_1wB99o"" src=""data",,,,, PLTourFairyPvtLtd 
18, Cabin Suitcase (18.1 inch) - Boosting 16-2534-04 Red 18.1 Inch - Red ,"2,969","5,999"," PLTourFairyPvtLtd 6<img class=""_1wB99o"" src=""data:image/svg+xml;base64,PHN2ZyB4bWxucz0iaHR0cDovL3d3dy53My5vcmcvMjAwMC9zdmciIHdpZHRoPSIxMyIgaGVpZ2h0PSIxMiI+PHBhdGggZmlsbD0iI0ZGRiIgZD0iTTYuNSA5LjQzOWwtMy42NzQgMi4yMy45NC00LjI2LTMuMjEtMi44ODMgNC4yNTQtLjQwNEw2LjUuMTEybDEuNjkgNC4wMSA0LjI1NC40MDQtMy4yMSAyLjg4Mi45NCA0LjI2eiIvPjwvc3ZnPg==""/>   ","<re.Match object; span=(104, 124), match='pid=STCFYXFPH25Y5TKS ",,,,,,,STCFYXFPH25Y5TKS ," PLTourFairyPvtLtd 6<img class=""_1wB99o"" src=""data",,,,, PLTourFairyPvtLtd 
19, Small Cabin Suitcase (56 cm) - World's Lightest 8 Wheel - Blue ,"6,599","10,999"," Zero7 Enterprise <img class=""_1wB99o"" src=""data:image/svg+xml;base64,PHN2ZyB4bWxucz0iaHR0cDovL3d3dy53My5vcmcvMjAwMC9zdmciIHdpZHRoPSIxMyIgaGVpZ2h0PSIxMiI+PHBhdGggZmlsbD0iI0ZGRiIgZD0iTTYuNSA5LjQzOWwtMy42NzQgMi4yMy45NC00LjI2LTMuMjEtMi44ODMgNC4yNTQtLjQwNEw2LjUuMTEybDEuNjkgNC4wMSA0LjI1NC40MDQtMy4yMSAyLjg4Mi45NCA0LjI2eiIvPjwvc3ZnPg==""/>   ","<re.Match object; span=(100, 120), match='pid=STCFBHGCNYEDDSMP ",,,,,,,STCFBHGCNYEDDSMP ," Zero7 Enterprise <img class=""_1wB99o"" src=""data:i",,,,, Zero7 Enterprise 
